id,type,hardware_name,hardware_category,gpu_memory_gb,num_gpus,cpu_only,supports_mixed_precision,supports_quantization,training_allowed,inference_allowed,latency_category,notes,inference_runtime,precision_mode,benchmark_device,evidence_ids
cpu_onnx_benchmark,HardwareProfile,CPU ONNX Benchmark,CPU,,0,true,false,unknown,false,true,Batch,Benchmark profile used for official YOLOv8 CPU ONNX speed reporting; not a generic deployment guarantee.,ONNX,unknown,CPU,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolo11_docs
a100_tensorrt_benchmark,HardwareProfile,A100 TensorRT Benchmark,DataCenterGPU,,1,false,true,unknown,false,true,RealTime,Benchmark profile used for official YOLOv8 A100 TensorRT speed reporting; not a generic deployment guarantee.,TensorRT,unknown,NVIDIA A100,evidence_ultralytics_yolov8_docs
t4_tensorrt_fp16_benchmark,HardwareProfile,T4 TensorRT FP16 Benchmark,DataCenterGPU,,1,false,true,unknown,false,true,RealTime,"Benchmark profile used for official YOLOv10, YOLO11, and YOLO12 TensorRT FP16 speed reporting on NVIDIA T4; not a generic deployment guarantee.",TensorRT,FP16,NVIDIA T4,evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
rtdetr_t4_tensorrt_fp16_benchmark,HardwareProfile,RT-DETR T4 TensorRT FP16 Benchmark,DataCenterGPU,,1,false,true,unknown,false,true,RealTime,Benchmark profile used by the RT-DETR paper and official repository for FPS reporting on NVIDIA T4 with TensorRT FP16.,TensorRT,FP16,NVIDIA T4,evidence_rtdetr_paper|evidence_rtdetr_official_repo
rtdetr_4x_v100_training,HardwareProfile,RT-DETR 4x Tesla V100 Training,DataCenterGPU,,4,false,true,unknown,true,false,Training,Training profile reported by the RT-DETR paper: four NVIDIA Tesla V100 GPUs with global batch size 16.,Training,unknown,4x NVIDIA Tesla V100,evidence_rtdetr_paper
retinanet_8x_v100_training,HardwareProfile,RetinaNet Torchvision 8x V100 Training,DataCenterGPU,,8,false,true,unknown,true,false,Training,Torchvision detection reference states that object detection reference models are trained on 8x V100 GPUs except where otherwise noted; RetinaNet command uses nproc_per_node=8.,Training,unknown,8x NVIDIA Tesla V100,evidence_torchvision_detection_reference
detectron2_8x_v100_model_zoo,HardwareProfile,Detectron2 8x V100 Model Zoo Benchmark,DataCenterGPU,,8,false,true,unknown,true,true,Benchmark,Detectron2 model zoo states baseline numbers were obtained on Big Basin servers with 8 NVIDIA V100 GPUs and NVLink; inference speed is measured with batch size 1 in Detectron2.,Training/Eval,unknown,8x NVIDIA V100 NVLink,evidence_detectron2_model_zoo
fasterrcnn_8x_v100_training,HardwareProfile,Faster R-CNN Torchvision 8x V100 Training,DataCenterGPU,,8,false,true,unknown,true,false,Training,Torchvision detection reference states that object detection reference models are trained on 8x V100 GPUs except where otherwise noted; Faster R-CNN ResNet-50-FPN command uses nproc_per_node=8.,Training,unknown,8x NVIDIA Tesla V100,evidence_torchvision_detection_reference
ssd300_8x_v100_training,HardwareProfile,SSD300 Torchvision 8x V100 Training,DataCenterGPU,,8,false,unknown,unknown,true,false,Training,Torchvision detection reference states that object detection reference models are trained on 8x V100 GPUs except where otherwise noted; SSD300 VGG16 command uses nproc_per_node=8.,Training,unknown,8x NVIDIA Tesla V100,evidence_torchvision_detection_reference
torchvision_classification_8x_v100_training,HardwareProfile,Torchvision Classification 8x V100 Training,DataCenterGPU,,8,false,unknown,unknown,true,false,Training,"Torchvision classification reference states that, except otherwise noted, models were trained on 8x V100 GPUs with default ImageNet classification parameters.",Training,unknown,8x NVIDIA V100,evidence_torchvision_classification_reference
torchvision_resnet50_v2_8gpu_training,HardwareProfile,Torchvision ResNet50 V2 8-GPU Training,DataCenterGPU,,8,false,unknown,unknown,true,false,Training,PyTorch blog publishes the ResNet50 V2 recipe as an 8-GPU torchrun command; GPU model is not specified in that source.,Training,unknown,8x GPU unspecified,evidence_pytorch_resnet50_sota_recipe
nvidia_resnet50_dgx_a100_training_benchmark,HardwareProfile,NVIDIA ResNet50 DGX A100 Training Benchmark,DataCenterGPU,80,8,false,true,unknown,true,false,Training,NVIDIA DeepLearningExamples ResNet50 training throughput benchmark on DGX A100 with 8x A100 80GB GPUs in the 21.03 PyTorch NGC container.,Training,MixedPrecision/TF32,NVIDIA DGX A100 8x A100 80GB,evidence_nvidia_resnet50_pytorch
