id,type,dataset_id,property_id,value,confidence,notes,evidence_ids
char_acdc_lighting,DatasetCharacteristic,ACDC_det_val_night,OutdoorLightingVariation,true,High,Night and adverse-condition driving imagery.,evidence_acdc_dataset
char_acdc_scale,DatasetCharacteristic,ACDC_det_val_night,ObjectScaleVariation,true,Medium,Road objects occur at different distances.,evidence_acdc_dataset
char_acdc_train_lighting,DatasetCharacteristic,ACDC_det_train,OutdoorLightingVariation,true,High,The ACDC training split covers nighttime together with fog rain and snow driving scenes.,evidence_acdc_dataset
char_cub_train_fine,DatasetCharacteristic,CUB-200-2011_cls_train,FineGrainedRecognition,true,High,Two hundred fine-grained bird categories.,evidence_cub200_2011_dataset
char_cub_test_fine,DatasetCharacteristic,CUB-200-2011_cls_test,FineGrainedRecognition,true,High,Two hundred fine-grained bird categories.,evidence_cub200_2011_dataset
char_lvis_train_imbalance,DatasetCharacteristic,LVIS_det_train,ClassImbalance,true,High,LVIS uses a long-tail category distribution.,evidence_lvis_dataset
char_lvis_train_longtail,DatasetCharacteristic,LVIS_det_train,LongTailVocabulary,true,High,LVIS has a large long-tail label vocabulary.,evidence_lvis_dataset
char_lvis_train_scale,DatasetCharacteristic,LVIS_det_train,ObjectScaleVariation,true,Medium,General-object instances occur at varied scales.,evidence_lvis_dataset
char_lvis_val_imbalance,DatasetCharacteristic,LVIS_det_val,ClassImbalance,true,High,LVIS uses a long-tail category distribution.,evidence_lvis_dataset
char_sop_train_fine,DatasetCharacteristic,SOP_cls_train,FineGrainedRecognition,true,High,Product-instance categories require fine-grained recognition.,evidence_sop_dataset
char_sop_test_fine,DatasetCharacteristic,SOP_cls_test,FineGrainedRecognition,true,High,Product-instance categories require fine-grained recognition.,evidence_sop_dataset
char_detrac_scale,DatasetCharacteristic,UA-DETRAC_det,ObjectScaleVariation,true,High,Vehicles occur at different distances in traffic video.,evidence_ua_detrac_paper
char_detrac_occlusion,DatasetCharacteristic,UA-DETRAC_det,FrequentOcclusion,true,High,Traffic scenes explicitly contain occlusion variation.,evidence_ua_detrac_paper
char_detrac_crowded,DatasetCharacteristic,UA-DETRAC_det,CrowdedEnvironment,true,Medium,Traffic frames may contain dense vehicle groups.,evidence_ua_detrac_paper
char_bdd_train_lighting,DatasetCharacteristic,bdd_100k_det_train,OutdoorLightingVariation,true,High,BDD100K covers diverse times and weather conditions.,evidence_bdd100k_paper
char_bdd_train_scale,DatasetCharacteristic,bdd_100k_det_train,ObjectScaleVariation,true,High,Road users occur at varied distances.,evidence_bdd100k_paper
char_bdd_train_occlusion,DatasetCharacteristic,bdd_100k_det_train,FrequentOcclusion,true,Medium,Street scenes include partially occluded road users.,evidence_bdd100k_paper
char_bdd_val_lighting,DatasetCharacteristic,bdd_100k_det_val,OutdoorLightingVariation,true,High,BDD100K covers diverse times and weather conditions.,evidence_bdd100k_paper
