source_id,relation,target_id,evidence_id,confidence,notes
yolov8n,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"Official YOLOv8 documentation supports this model node."
yolov8s,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"Official YOLOv8 documentation supports this model node."
yolov8m,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"Official YOLOv8 documentation supports this model node."
yolov8l,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"Official YOLOv8 documentation supports this model node."
yolov8x,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"Official YOLOv8 documentation supports this model node."
yolov8_detection_finetune_balanced,supported_by_evidence,evidence_ultralytics_train_docs,,High,"Official train mode documentation supports YOLO training settings."
yolov8_detection_finetune_balanced,supported_by_evidence,evidence_ultralytics_cfg_docs,,High,"Official configuration documentation supports default training arguments."
yolov8_detection_finetune_balanced,supported_by_evidence,evidence_ultralytics_hpo_docs,,Medium,"Hyperparameter tuning guide supports tuning workflow and limited learning-rate guidance."
rule_yolov8_latency_first_variant,supported_by_evidence,evidence_ultralytics_yolov8_docs,,Medium,"Rule is inferred from benchmark speed and model-size trends, not explicitly prescribed."
rule_yolov8_accuracy_first_variant,supported_by_evidence,evidence_ultralytics_yolov8_docs,,Medium,"Rule is inferred from benchmark mAP trends, not explicitly prescribed."
rule_yolo_low_vram_auto_batch,supported_by_evidence,evidence_ultralytics_cfg_docs,,High,"Configuration documentation supports automatic batch sizing behavior."
rule_yolo_low_vram_auto_batch,supported_by_evidence,evidence_ultralytics_train_docs,,High,"Train mode documentation supports batch-size behavior during training."
rule_yolo_time_constrained_training,supported_by_evidence,evidence_ultralytics_cfg_docs,,High,"Configuration documentation supports the time training argument."
rule_yolo_hyperparameter_tuning,supported_by_evidence,evidence_ultralytics_hpo_docs,,High,"Hyperparameter tuning guide supports tuning when optimizing model performance."
rule_yolo_increase_imgsz_for_accuracy,supported_by_evidence,evidence_ultralytics_cfg_docs,,Medium,"Rule is based on image size being a configurable training/prediction parameter affecting compute and accuracy tradeoffs."
rule_yolo_reduce_imgsz_for_latency,supported_by_evidence,evidence_ultralytics_cfg_docs,,Medium,"Rule is based on image size being a configurable training/prediction parameter affecting compute and latency tradeoffs."
map50_95,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"YOLOv8 benchmark tables report mAP50-95."
ap50,supported_by_evidence,evidence_ultralytics_hpo_docs,,High,"Hyperparameter tuning guide mentions AP50 as an evaluation metric."
precision,supported_by_evidence,evidence_ultralytics_hpo_docs,,High,"Hyperparameter tuning guide mentions precision as an evaluation metric."
recall,supported_by_evidence,evidence_ultralytics_hpo_docs,,High,"Hyperparameter tuning guide mentions recall as an evaluation metric."
f1_score,supported_by_evidence,evidence_ultralytics_hpo_docs,,High,"Hyperparameter tuning guide mentions F1-score as an evaluation metric."
latency_ms,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"YOLOv8 benchmark tables report CPU ONNX and A100 TensorRT speed in milliseconds."
params_m,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"YOLOv8 benchmark tables report parameter counts in millions."
flops_b,supported_by_evidence,evidence_ultralytics_yolov8_docs,,High,"YOLOv8 benchmark tables report FLOPs in billions."
yolov8n,evaluated_by,map50_95,evidence_ultralytics_yolov8_docs,High,"YOLOv8n has mAP50-95 benchmark results on COCO and Open Images V7."
yolov8s,evaluated_by,map50_95,evidence_ultralytics_yolov8_docs,High,"YOLOv8s has mAP50-95 benchmark results on COCO and Open Images V7."
yolov8m,evaluated_by,map50_95,evidence_ultralytics_yolov8_docs,High,"YOLOv8m has mAP50-95 benchmark results on COCO and Open Images V7."
yolov8l,evaluated_by,map50_95,evidence_ultralytics_yolov8_docs,High,"YOLOv8l has mAP50-95 benchmark results on COCO and Open Images V7."
yolov8x,evaluated_by,map50_95,evidence_ultralytics_yolov8_docs,High,"YOLOv8x has mAP50-95 benchmark results on COCO and Open Images V7."
yolov8n,evaluated_by,latency_ms,evidence_ultralytics_yolov8_docs,High,"YOLOv8n has CPU ONNX and A100 TensorRT speed results."
yolov8s,evaluated_by,latency_ms,evidence_ultralytics_yolov8_docs,High,"YOLOv8s has CPU ONNX and A100 TensorRT speed results."
yolov8m,evaluated_by,latency_ms,evidence_ultralytics_yolov8_docs,High,"YOLOv8m has CPU ONNX and A100 TensorRT speed results."
yolov8l,evaluated_by,latency_ms,evidence_ultralytics_yolov8_docs,High,"YOLOv8l has CPU ONNX and A100 TensorRT speed results."
yolov8x,evaluated_by,latency_ms,evidence_ultralytics_yolov8_docs,High,"YOLOv8x has CPU ONNX and A100 TensorRT speed results."
yolov8n,evaluated_by,params_m,evidence_ultralytics_yolov8_docs,High,"YOLOv8n has parameter-count benchmark results."
yolov8s,evaluated_by,params_m,evidence_ultralytics_yolov8_docs,High,"YOLOv8s has parameter-count benchmark results."
yolov8m,evaluated_by,params_m,evidence_ultralytics_yolov8_docs,High,"YOLOv8m has parameter-count benchmark results."
yolov8l,evaluated_by,params_m,evidence_ultralytics_yolov8_docs,High,"YOLOv8l has parameter-count benchmark results."
yolov8x,evaluated_by,params_m,evidence_ultralytics_yolov8_docs,High,"YOLOv8x has parameter-count benchmark results."
yolov8n,evaluated_by,flops_b,evidence_ultralytics_yolov8_docs,High,"YOLOv8n has FLOPs benchmark results."
yolov8s,evaluated_by,flops_b,evidence_ultralytics_yolov8_docs,High,"YOLOv8s has FLOPs benchmark results."
yolov8m,evaluated_by,flops_b,evidence_ultralytics_yolov8_docs,High,"YOLOv8m has FLOPs benchmark results."
yolov8l,evaluated_by,flops_b,evidence_ultralytics_yolov8_docs,High,"YOLOv8l has FLOPs benchmark results."
yolov8x,evaluated_by,flops_b,evidence_ultralytics_yolov8_docs,High,"YOLOv8x has FLOPs benchmark results."
