id,type,model_id,framework,training_scope,input_size,batch_size,precision,optimizer,lowest_observed_success_vram_gb,observed_peak_vram_gb,recommended_vram_gb,recommendation_status,fit_policy,confidence,evidence_ids,notes
train_hw_yolov8n,ModelTrainingHardwareRequirement,yolov8n,Ultralytics,pretrained full fine-tuning,640,auto,AMP,auto,7.8,5.16,4,derived,require_recommended_vram_at_or_below_training_budget,Medium,evidence_ultralytics_train_docs|evidence_ultralytics_autobatch_observation,"4 GB recommendation assumes batch 1 or AutoBatch and 640px; the observed 7.8 GB device is not a minimum."
train_hw_yolov8s,ModelTrainingHardwareRequirement,yolov8s,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,6,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"No variant-specific verified minimum found; recommendation is conservative tier guidance and must be validated with AutoBatch."
train_hw_yolov8m,ModelTrainingHardwareRequirement,yolov8m,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,8,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"No variant-specific verified minimum found; use AutoBatch and reduce image size if required."
train_hw_yolov8l,ModelTrainingHardwareRequirement,yolov8l,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,12,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Planning recommendation with headroom; not a measured minimum."
train_hw_yolov8x,ModelTrainingHardwareRequirement,yolov8x,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,16,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Planning recommendation with headroom; not a measured minimum."
train_hw_yolov10n,ModelTrainingHardwareRequirement,yolov10n,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,4,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolov10s,ModelTrainingHardwareRequirement,yolov10s,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,6,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolov10m,ModelTrainingHardwareRequirement,yolov10m,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,8,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolov10l,ModelTrainingHardwareRequirement,yolov10l,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,12,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolov10x,ModelTrainingHardwareRequirement,yolov10x,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,16,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolo11n,ModelTrainingHardwareRequirement,yolo11n,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,8,,4,derived,require_recommended_vram_at_or_below_training_budget,Medium,evidence_ultralytics_train_docs|evidence_rtdetr_l_8gb_study,"Successful training was reported on an 8 GB RTX 4060; 4 GB is derived AutoBatch guidance rather than an observed minimum."
train_hw_yolo11s,ModelTrainingHardwareRequirement,yolo11s,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,6,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolo11m,ModelTrainingHardwareRequirement,yolo11m,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,8,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs,"Family/size-tier recommendation; no exact verified minimum found."
train_hw_yolo11l,ModelTrainingHardwareRequirement,yolo11l,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,AdamW,8,,8,evidence_backed_observed_success,require_recommended_vram_at_or_below_training_budget,Medium,evidence_ultralytics_train_docs|evidence_rtdetr_l_8gb_study,"An independent study trained this model on an RTX 4060 8 GB but omitted batch size and peak allocation."
train_hw_yolo11x,ModelTrainingHardwareRequirement,yolo11x,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,48,,16,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs|evidence_rtdetr_l_8gb_study,"Study used 48 GB for efficient training; 16 GB is a derived reduced-batch recommendation, not verified by that study."
train_hw_yolo12n,ModelTrainingHardwareRequirement,yolo12n,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,6,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs|evidence_ultralytics_yolo12_mps_issue,"Attention-centric implementation may need more headroom than similarly sized YOLO variants; no verified CUDA minimum found."
train_hw_yolo12s,ModelTrainingHardwareRequirement,yolo12s,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,8,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs|evidence_ultralytics_yolo12_mps_issue,"Conservative planning recommendation; no verified CUDA minimum found."
train_hw_yolo12m,ModelTrainingHardwareRequirement,yolo12m,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,12,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs|evidence_ultralytics_yolo12_mps_issue,"Conservative planning recommendation; no verified CUDA minimum found."
train_hw_yolo12l,ModelTrainingHardwareRequirement,yolo12l,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,16,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs|evidence_ultralytics_yolo12_mps_issue,"Conservative planning recommendation; no verified CUDA minimum found."
train_hw_yolo12x,ModelTrainingHardwareRequirement,yolo12x,Ultralytics,pretrained full fine-tuning,640,1 or auto,AMP,auto,,,24,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_ultralytics_train_docs|evidence_ultralytics_yolo12_mps_issue,"Conservative planning recommendation; no verified CUDA minimum found."
train_hw_rtdetr_hgnetv2_l,ModelTrainingHardwareRequirement,rtdetr_hgnetv2_l,Ultralytics,pretrained full fine-tuning,640,1,AMP,AdamW,8,,12,derived_with_observed_lower_bound,require_recommended_vram_at_or_below_training_budget,Medium,evidence_ultralytics_rtdetr_docs|evidence_rtdetr_l_8gb_study|evidence_rtdetr_training_stability_discussion|evidence_rtdetr_r50_4gb_observation,"8 GB successful RT-DETR-L training exists, but batch and peak allocation were not reported. Recommend 12 GB for usable headroom; disabling AMP for stability needs more. RTX 2060 6 GB is unsupported/high-risk."
train_hw_retinanet_resnet50_fpn,ModelTrainingHardwareRequirement,retinanet_resnet50_fpn,Detectron2,full training COCO baseline,800-1333,2 per GPU,FP32,SGD,4.1,4.1,6,evidence_backed_with_headroom,require_recommended_vram_at_or_below_training_budget,High,evidence_detectron2_model_zoo|evidence_detectron2_retinanet_config,"Official 8xV100 baseline reports 4.1 GB per GPU with global batch 16; recommend 6 GB to leave framework and dataset headroom."
train_hw_fasterrcnn_resnet50_fpn,ModelTrainingHardwareRequirement,fasterrcnn_resnet50_fpn,Detectron2,full training COCO baseline,800-1333,2 per GPU,FP32,SGD,3.0,3.0,6,evidence_backed_with_headroom,require_recommended_vram_at_or_below_training_budget,High,evidence_detectron2_fasterrcnn_model_zoo|evidence_detectron2_fasterrcnn_config|evidence_rtdetr_l_8gb_study,"Official 8xV100 baseline reports 3.0 GB per GPU with global batch 16; an independent study also trained Faster R-CNN on 8 GB. Recommend 6 GB with batch/config validation."
train_hw_ssd300_vgg16,ModelTrainingHardwareRequirement,ssd300_vgg16,Torchvision,pretrained full fine-tuning,300,1,AMP,SGD,,,6,derived,require_recommended_vram_at_or_below_training_budget,Low,evidence_torchvision_ssd_docs,"No trustworthy model-specific minimum-VRAM report was found. 6 GB is conservative planning guidance for batch 1 at fixed 300px and must be runtime-validated."
