id,type,recipe_id,param_name,param_value,notes,evidence_ids
param_ultralytics_yolo_auto_batch,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,batch,-1,Use automatic batch sizing when CUDA memory is constrained.,evidence_ultralytics_train_docs|evidence_ultralytics_cfg_docs
param_ultralytics_yolo_time_override,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,time,,Time-limited training can override epoch-based training.,evidence_ultralytics_cfg_docs
param_ultralytics_yolo_tune,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,tune,,Run hyperparameter tuning if the target metric is not met.,evidence_ultralytics_hpo_docs
param_rtdetr_ema_decay,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,ema_decay,0.9999,RT-DETR fine-tuning EMA decay from official config context.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_rtdetr_num_queries,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,num_queries,300,RT-DETR decoder query count.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_rtdetr_decoder_layers,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,decoder_layers,6,RT-DETR decoder depth.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_rtdetr_augmentations,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,augmentations,random color distort|expand|crop|flip|resize,RT-DETR augmentation sequence summarized from the recipe string.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_torchvision_retinanet_trainable_backbone_layers,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_training,trainable_backbone_layers,3,Torchvision RetinaNet reference setting.,evidence_torchvision_detection_reference|evidence_torchvision_retinanet_docs
param_torchvision_retinanet_lr_steps,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_training,lr_steps,16|22,Torchvision RetinaNet MultiStepLR milestones.,evidence_torchvision_detection_reference
param_torchvision_retinanet_focal_loss_gamma,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_training,focal_loss_gamma,2,RetinaNet focal-loss gamma.,evidence_lin_focal_loss|evidence_torchvision_retinanet_docs
param_detectron2_retinanet_max_iter,TrainingRecipeParameter,detectron2_retinanet_r50_fpn_coco_pretrained_finetune,SOLVER.MAX_ITER,270000 for 3x or 90000 for 1x,Detectron2 RetinaNet iteration schedules from model zoo/config context.,evidence_detectron2_retinanet_config|evidence_detectron2_model_zoo
param_detectron2_retinanet_input_min_size_train,TrainingRecipeParameter,detectron2_retinanet_r50_fpn_coco_pretrained_finetune,INPUT.MIN_SIZE_TRAIN,640|672|704|736|768|800,Detectron2 RetinaNet scale jitter values.,evidence_detectron2_retinanet_config
param_torchvision_fasterrcnn_head_replacement,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_finetune,roi_heads.box_predictor,FastRCNNPredictor(in_features num_classes),Replace Faster R-CNN predictor head for custom classes.,evidence_torchvision_detection_finetuning_tutorial|evidence_torchvision_fasterrcnn_docs
param_detectron2_fasterrcnn_roi_classes,TrainingRecipeParameter,detectron2_fasterrcnn_r50_fpn_coco_pretrained_finetune,MODEL.ROI_HEADS.NUM_CLASSES,<custom_num_classes>,Set Detectron2 Faster R-CNN ROI head class count for custom datasets.,evidence_detectron2_custom_dataset_docs|evidence_detectron2_fasterrcnn_config
param_detectron2_fasterrcnn_max_iter,TrainingRecipeParameter,detectron2_fasterrcnn_r50_fpn_coco_pretrained_finetune,SOLVER.MAX_ITER,270000 for 3x or 90000 for 1x,Detectron2 Faster R-CNN iteration schedules from config context.,evidence_detectron2_fasterrcnn_config|evidence_detectron2_fasterrcnn_model_zoo
param_torchvision_ssd_fixed_size,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,fixed_size,300x300,Torchvision SSD300 fixed input size.,evidence_torchvision_detection_reference|evidence_torchvision_ssd_docs
param_resnet50_v2_label_smoothing,TrainingRecipeParameter,torchvision_resnet50_imagenet_v2_training,label_smoothing,0.1,ResNet50 V2 recipe regularization setting.,evidence_pytorch_resnet50_sota_recipe
param_resnet50_v2_auto_augment,TrainingRecipeParameter,torchvision_resnet50_imagenet_v2_training,auto_augment,ta_wide,ResNet50 V2 augmentation policy.,evidence_pytorch_resnet50_sota_recipe
param_resnet50_finetune_head,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,model.fc,nn.Linear(model.fc.in_features num_classes),Replace ResNet classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_resnet50_docs
param_mobilenetv3_finetune_head,TrainingRecipeParameter,torchvision_mobilenetv3_imagenet_pretrained_custom_finetune,model.classifier[3],nn.Linear(model.classifier[3].in_features num_classes),Replace MobileNetV3 classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv3_source
param_efficientnet_finetune_head,TrainingRecipeParameter,torchvision_efficientnet_imagenet_pretrained_custom_finetune,model.classifier[1],nn.Linear(model.classifier[1].in_features num_classes),Replace EfficientNet classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_efficientnet_docs
param_vit_b16_reference_amp,TrainingRecipeParameter,torchvision_vit_b16_imagenet_v1_training,amp,true,Torchvision ViT-B-16 reference recipe uses mixed precision AMP.,evidence_torchvision_vit_b16_docs|evidence_torchvision_classification_reference
param_vit_b16_finetune_head,TrainingRecipeParameter,torchvision_vit_b16_imagenet_pretrained_custom_finetune,model.heads.head,nn.Linear(model.heads.head.in_features num_classes),Replace Torchvision ViT classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_vit_source
param_ftclip_layer_decay,TrainingRecipeParameter,ftclip_clip_vit_b16_imagenet1k_finetune,layer_decay,0.6,FT-CLIP supervised fine-tuning layer-wise LR decay.,evidence_ft_clip_paper|evidence_ft_clip_repo
param_ftclip_effective_batch_size,TrainingRecipeParameter,ftclip_clip_vit_b16_imagenet1k_finetune,effective_batch_size,2048,FT-CLIP ImageNet-1K fine-tuning effective batch size.,evidence_ft_clip_repo
param_swinv2_torchvision_clip_grad_norm,TrainingRecipeParameter,torchvision_swin_v2_imagenet1k_training,clip_grad_norm,5.0,Torchvision Swin V2 ImageNet-1K recipe gradient clipping.,evidence_torchvision_swin_v2_docs|evidence_torchvision_classification_reference
param_microsoft_swinv2_256_cfg,TrainingRecipeParameter,microsoft_swinv2_b_22kto1k_256_finetune,cfg,configs/swinv2/swinv2_base_patch4_window12to16_192to256_22kto1k_ft.yaml,Microsoft SwinV2-B 256px fine-tuning config.,evidence_microsoft_swin_repo|evidence_microsoft_swinv2_config
param_microsoft_swinv2_384_cfg,TrainingRecipeParameter,microsoft_swinv2_b_22kto1k_384_finetune,cfg,configs/swinv2/swinv2_base_patch4_window12to24_192to384_22kto1k_ft.yaml,Microsoft SwinV2-B 384px fine-tuning config.,evidence_microsoft_swin_repo|evidence_microsoft_swinv2_config
param_dinov2_linear_backbone_frozen,TrainingRecipeParameter,meta_dinov2_imagenet1k_linear_eval,backbone_frozen,true,DINOv2 linear evaluation freezes the pretrained backbone.,evidence_dinov2_repo|evidence_dinov2_eval_configs
param_hf_dinov2_trainer_learning_rate,TrainingRecipeParameter,hf_dinov2_image_classification_finetune,TrainingArguments.learning_rate,5e-5,Hugging Face image-classification fine-tuning learning rate.,evidence_hf_image_classification_finetune|evidence_hf_dinov2_docs
param_llava_pretrain_projector_type,TrainingRecipeParameter,llava_1_5_13b_alignment_pretrain,mm_projector_type,mlp2x_gelu,LLaVA-1.5 uses a two-layer MLP vision-language connector.,evidence_llava_1_5_paper|evidence_llava_pretrain_script
param_llava_pretrain_global_batch,TrainingRecipeParameter,llava_1_5_13b_alignment_pretrain,global_batch_size,256,Official feature-alignment global batch size.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_pretrain_script
param_llava_7b_finetune_global_batch,TrainingRecipeParameter,llava_1_5_7b_visual_instruction_finetune,global_batch_size,128,Official visual instruction tuning global batch size for the LLaVA-1.5 published recipe.,evidence_llava_1_5_paper|evidence_llava_official_repo
param_llava_finetune_global_batch,TrainingRecipeParameter,llava_1_5_13b_visual_instruction_finetune,global_batch_size,128,Official visual instruction tuning global batch size.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_finetune_script
param_llava_finetune_data_mixture,TrainingRecipeParameter,llava_1_5_13b_visual_instruction_finetune,data_mixture,LLaVA 158K|ShareGPT 40K|VQAv2 83K|GQA 72K|OKVQA 9K|OCRVQA 80K|A-OKVQA 66K|TextCaps 22K|RefCOCO 48K|VG 86K,Official LLaVA-1.5 665K instruction-following data mixture.,evidence_llava_1_5_paper|evidence_llava_official_repo
param_llava_finetune_group_by_modality,TrainingRecipeParameter,llava_1_5_13b_visual_instruction_finetune,group_by_modality_length,True,Only sample one modality per batch when instruction tuning data mixes language-only and multimodal conversations; repository notes about 25 percent speedup without affecting final outcome.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_finetune_script
param_llava_hd_no_extra_pretraining,TrainingRecipeParameter,llava_1_5_hd_13b_visual_instruction_finetune,additional_high_resolution_pretraining,false,LLaVA-1.5-HD performs visual instruction tuning directly on higher-resolution images without additional pretraining or projector pretraining.,evidence_llava_1_5_paper
param_llava_hd_target_resolutions,TrainingRecipeParameter,llava_1_5_hd_13b_visual_instruction_finetune,target_resolutions,up to 672x448 or 448x672,HD target-resolution selection supports grids up to six CLIP-native patches and uses resource-efficiency criteria.,evidence_llava_1_5_paper
param_llava_task_finetune_checkpoint,TrainingRecipeParameter,llava_1_5_13b_pretrained_task_finetune,model_name_or_path,liuhaotian/llava-v1.5-13b,Official task fine-tuning script starts from the pretrained LLaVA-1.5 13B checkpoint.,evidence_llava_task_finetune_script
