id,type,task,model_name,model_family,architecture_type,pretrained_available,fine_tuning_supported,lora_supported,quantization_supported,model_size_category,latency_category,accuracy_category,limitations,evidence_ids,incompatible_training_backends
yolov8n,Model,object_detection,YOLOv8n,YOLOv8,DetectorCNN,true,true,unknown,unknown,Nano,VeryLow,Medium,Lower accuracy than larger YOLOv8 variants; may be insufficient for difficult high-accuracy or small-object use cases.,evidence_ultralytics_yolov8_docs,
yolov8s,Model,object_detection,YOLOv8s,YOLOv8,DetectorCNN,true,true,unknown,unknown,Small,Low,MediumHigh,"Lower accuracy ceiling than medium, large, and xlarge variants.",evidence_ultralytics_yolov8_docs,
yolov8m,Model,object_detection,YOLOv8m,YOLOv8,DetectorCNN,true,true,unknown,unknown,Medium,Medium,High,Higher compute and latency than nano and small variants.,evidence_ultralytics_yolov8_docs,
yolov8l,Model,object_detection,YOLOv8l,YOLOv8,DetectorCNN,true,true,unknown,unknown,Large,MediumHigh,High,Higher latency and compute cost than smaller variants; may be unsuitable for strict edge or real-time constraints.,evidence_ultralytics_yolov8_docs,
yolov8x,Model,object_detection,YOLOv8x,YOLOv8,DetectorCNN,true,true,unknown,unknown,XLarge,High,VeryHigh,Highest compute and latency among listed YOLOv8 variants; not ideal for low-memory or low-latency deployment.,evidence_ultralytics_yolov8_docs,
yolov10n,Model,object_detection,YOLOv10n,YOLOv10,NMSFreeDetector,true,true,unknown,unknown,Nano,VeryLow,Medium,NMS-free object detector; lower accuracy than larger YOLOv10 variants.,evidence_ultralytics_yolov10_docs,
yolov10s,Model,object_detection,YOLOv10s,YOLOv10,NMSFreeDetector,true,true,unknown,unknown,Small,Low,MediumHigh,NMS-free object detector balancing speed and accuracy.,evidence_ultralytics_yolov10_docs,
yolov10m,Model,object_detection,YOLOv10m,YOLOv10,NMSFreeDetector,true,true,unknown,unknown,Medium,Medium,High,NMS-free object detector with higher compute than YOLOv10n and YOLOv10s.,evidence_ultralytics_yolov10_docs,
yolov10l,Model,object_detection,YOLOv10l,YOLOv10,NMSFreeDetector,true,true,unknown,unknown,Large,MediumHigh,High,NMS-free object detector; higher latency and compute than smaller YOLOv10 variants.,evidence_ultralytics_yolov10_docs,
yolov10x,Model,object_detection,YOLOv10x,YOLOv10,NMSFreeDetector,true,true,unknown,unknown,XLarge,High,VeryHigh,NMS-free object detector; highest accuracy and compute among the listed YOLOv10 variants.,evidence_ultralytics_yolov10_docs,
yolo11n,Model,object_detection,YOLO11n,YOLO11,DetectorCNN,true,true,unknown,unknown,Nano,VeryLow,Medium,Official Ultralytics YOLO11 detection variant; lower accuracy than larger YOLO11 variants.,evidence_ultralytics_yolo11_docs,
yolo11s,Model,object_detection,YOLO11s,YOLO11,DetectorCNN,true,true,unknown,unknown,Small,Low,MediumHigh,Official Ultralytics YOLO11 detection variant balancing speed and accuracy.,evidence_ultralytics_yolo11_docs,
yolo11m,Model,object_detection,YOLO11m,YOLO11,DetectorCNN,true,true,unknown,unknown,Medium,Medium,High,Official Ultralytics YOLO11 detection variant with higher compute than nano and small variants.,evidence_ultralytics_yolo11_docs,
yolo11l,Model,object_detection,YOLO11l,YOLO11,DetectorCNN,true,true,unknown,unknown,Large,MediumHigh,High,Official Ultralytics YOLO11 detection variant; higher latency and compute than smaller variants.,evidence_ultralytics_yolo11_docs,
yolo11x,Model,object_detection,YOLO11x,YOLO11,DetectorCNN,true,true,unknown,unknown,XLarge,High,VeryHigh,Official Ultralytics YOLO11 detection variant; highest accuracy and compute among listed YOLO11 detection variants.,evidence_ultralytics_yolo11_docs,
yolo12n,Model,object_detection,YOLO12n,YOLO12,AttentionCentricDetector,true,true,unknown,unknown,Nano,VeryLow,MediumHigh,"Community-driven attention-centric detection model; Ultralytics recommends YOLO11 or YOLO26 for most production workloads requiring stable training, predictable memory, or optimized CPU inference.",evidence_ultralytics_yolo12_docs|evidence_ultralytics_yolo12_mps_issue,mps
yolo12s,Model,object_detection,YOLO12s,YOLO12,AttentionCentricDetector,true,true,unknown,unknown,Small,Low,High,"Community-driven attention-centric detection model; use cautiously for production due to possible training instability, elevated memory use, and slower CPU throughput.",evidence_ultralytics_yolo12_docs|evidence_ultralytics_yolo12_mps_issue,mps
yolo12m,Model,object_detection,YOLO12m,YOLO12,AttentionCentricDetector,true,true,unknown,unknown,Medium,Medium,High,"Community-driven attention-centric detection model; use cautiously for production due to possible training instability, elevated memory use, and slower CPU throughput.",evidence_ultralytics_yolo12_docs|evidence_ultralytics_yolo12_mps_issue,mps
yolo12l,Model,object_detection,YOLO12l,YOLO12,AttentionCentricDetector,true,true,unknown,unknown,Large,MediumHigh,High,"Community-driven attention-centric detection model; use cautiously for production due to possible training instability, elevated memory use, and slower CPU throughput.",evidence_ultralytics_yolo12_docs|evidence_ultralytics_yolo12_mps_issue,mps
yolo12x,Model,object_detection,YOLO12x,YOLO12,AttentionCentricDetector,true,true,unknown,unknown,XLarge,High,VeryHigh,"Community-driven attention-centric detection model; use cautiously for production due to possible training instability, elevated memory use, and slower CPU throughput.",evidence_ultralytics_yolo12_docs|evidence_ultralytics_yolo12_mps_issue,mps
rtdetr_r18,Model,object_detection,RT-DETR-R18,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,Small,VeryLow,MediumHigh,NMS-free end-to-end detector; lower accuracy ceiling than larger RT-DETR variants.,evidence_rtdetr_paper|evidence_rtdetr_official_repo,
rtdetr_r34,Model,object_detection,RT-DETR-R34,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,Medium,Low,High,NMS-free end-to-end detector balancing speed and accuracy.,evidence_rtdetr_paper|evidence_rtdetr_official_repo,
