id,type,task,metric_name,task_id,optimization_direction,primary_or_secondary,description,evidence_ids
map50_95,EvaluationMetric,object_detection,mAP50-95,object_detection,maximize,Primary,Mean average precision averaged over IoU thresholds from 0.50 to 0.95.,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
ap50,EvaluationMetric,object_detection,AP50,object_detection,maximize,Secondary,Average precision at IoU threshold 0.50.,evidence_ultralytics_hpo_docs
precision,EvaluationMetric,object_detection,Precision,object_detection,maximize,Secondary,Fraction of predicted positive detections that are correct.,evidence_ultralytics_hpo_docs
recall,EvaluationMetric,object_detection,Recall,object_detection,maximize,Secondary,Fraction of true objects that are correctly detected.,evidence_ultralytics_hpo_docs
f1_score,EvaluationMetric,object_detection,F1-score,object_detection,maximize,Secondary,Harmonic mean of precision and recall.,evidence_ultralytics_hpo_docs
latency_ms,EvaluationMetric,object_detection|image_classification,Latency ms,all,minimize,Secondary,Inference time in milliseconds.,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
params_m,EvaluationMetric,object_detection|image_classification|visual_question_answering,Parameters M,all,minimize,Secondary,Number of model parameters in millions.,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs|evidence_qwen2_5_vl_3b_hf|evidence_qwen3_6_35b_a3b_hf
fps,EvaluationMetric,object_detection|image_classification,FPS,all,maximize,Secondary,Inference throughput in frames per second for the stated benchmark device and runtime.,evidence_rtdetr_paper|evidence_rtdetr_official_repo
flops_b,EvaluationMetric,object_detection|image_classification,FLOPs B,all,minimize,Secondary,Approximate compute cost in billions of FLOPs.,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs|evidence_rtdetr_paper|evidence_rtdetr_official_repo
top1_acc,EvaluationMetric,image_classification,Top-1 Accuracy,image_classification,maximize,Primary,Fraction of validation images where the highest-probability class matches the label.,evidence_torchvision_resnet50_docs
top5_acc,EvaluationMetric,image_classification,Top-5 Accuracy,image_classification,maximize,Secondary,Fraction of validation images where the label is among the five highest-probability classes.,evidence_torchvision_resnet50_docs
throughput_img_s,EvaluationMetric,object_detection|image_classification,Throughput images per second,all,maximize,Secondary,"Images processed per second for the stated benchmark hardware, runtime, precision, and batch settings.",evidence_nvidia_resnet50_pytorch
vqa_accuracy,EvaluationMetric,visual_question_answering,VQA Accuracy,visual_question_answering,maximize,Primary,Accuracy percentage on visual question answering or multiple-choice visual reasoning benchmarks.,evidence_llava_1_5_paper
mme_score,EvaluationMetric,visual_question_answering,MME Perception Score,visual_question_answering,maximize,Secondary,MME perception aggregate score used for yes/no visual perception evaluation of large multimodal models.,evidence_llava_1_5_paper
mmvet_score,EvaluationMetric,visual_question_answering,MM-Vet Score,visual_question_answering,maximize,Secondary,GPT-4-assisted MM-Vet score for integrated multimodal conversation and reasoning ability.,evidence_llava_1_5_paper
pope_f1,EvaluationMetric,visual_question_answering,POPE F1,visual_question_answering,maximize,Secondary,F1 score on POPE hallucination evaluation splits for large multimodal models.,evidence_llava_1_5_paper
