id,type,detail_name,recipe_id,label_smoothing_default,mixup_alpha_default,cutmix_alpha_default,auto_augment_policy,random_erasing_default,train_crop_size,val_resize_size,val_crop_size,preprocessing_mean,preprocessing_std,classifier_head_field,feature_extraction_supported,notes,evidence_ids
torchvision_resnet50_imagenet_v1_training_details,ImageClassificationRecipeDetails,Torchvision ResNet-50 ImageNet V1 training image-classification details,torchvision_resnet50_imagenet_v1_training,,,,,,,256,224,0.485|0.456|0.406,0.229|0.224|0.225,,,Task-specific fields split from training_recipes.csv for image-classification recipes.,evidence_torchvision_classification_reference|evidence_torchvision_resnet50_docs
torchvision_resnet50_imagenet_v2_training_details,ImageClassificationRecipeDetails,Torchvision ResNet-50 ImageNet V2 training recipe image-classification details,torchvision_resnet50_imagenet_v2_training,0.1,0.2,1.0,ta_wide,0.1,176,232,224,,,,,Task-specific fields split from training_recipes.csv for image-classification recipes.,evidence_pytorch_resnet50_sota_recipe|evidence_torchvision_resnet50_docs
torchvision_resnet50_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,Torchvision ResNet-50 ImageNet-pretrained custom classification fine-tuning image-classification details,torchvision_resnet50_imagenet_pretrained_custom_finetune,,,,,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.fc,true,Task-specific fields split from training_recipes.csv for image-classification recipes. The custom fine-tuning detail row adapts PyTorch transfer-learning tutorial settings from ResNet18 to ResNet50.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_resnet50_docs
torchvision_mobilenetv3_imagenet_v1_training_details,ImageClassificationRecipeDetails,Torchvision MobileNetV3 ImageNet V1 training image-classification details,torchvision_mobilenetv3_imagenet_v1_training,,,,imagenet,0.2,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[3],,Task-specific fields for MobileNetV3 V1 ImageNet training. TorchVision docs define 256 resize and 224 center crop for V1 weights.,evidence_torchvision_classification_reference|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_small_docs|evidence_torchvision_mobilenetv3_source
torchvision_mobilenetv3_large_imagenet_v2_training_details,ImageClassificationRecipeDetails,Torchvision MobileNetV3 Large ImageNet V2 training image-classification details,torchvision_mobilenetv3_large_imagenet_v2_training,0.1,0.2,1.0,ta_wide,0.1,,232,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[3],,Task-specific fields for MobileNetV3 Large V2 recipe with regularization tuning. TorchVision docs define 232 resize and 224 center crop for V2 weights.,evidence_torchvision_mobilenetv3_v2_recipe_issue|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_source
tensorflow_efficientnet_imagenet_autoaugment_training_details,ImageClassificationRecipeDetails,TensorFlow TPU EfficientNet ImageNet AutoAugment training image-classification details,tensorflow_efficientnet_imagenet_autoaugment_training,,,,"autoaugment",,224|240|288|300|380|456|528|600,256|255|288|320|384|456|528|600,224|240|288|300|380|456|528|600,0.485|0.456|0.406,0.229|0.224|0.225,,true,"Variant crop and resize sizes follow TorchVision EfficientNet B0-B7 weight metadata. Official TensorFlow TPU repo states AutoAugment checkpoints use augment_name=autoaugment and exposes final features for classification fine-tuning.",evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs
torchvision_efficientnet_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,TorchVision EfficientNet ImageNet-pretrained custom classification fine-tuning details,torchvision_efficientnet_imagenet_pretrained_custom_finetune,,,,,,"224|240|288|300|380|456|528|600",256|255|288|320|384|456|528|600,224|240|288|300|380|456|528|600,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],true,"Use weights.transforms() for validation/inference. For custom classes replace classifier[1]; for small datasets freeze features and train only classifier[1] first.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_efficientnet_docs
torchvision_mobilenetv3_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,Torchvision MobileNetV3 ImageNet-pretrained custom fine-tuning image-classification details,torchvision_mobilenetv3_imagenet_pretrained_custom_finetune,,,,,,224,256 or weights.transforms resize,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[3],true,Custom fine-tuning detail row adapted from PyTorch transfer-learning tutorial; MobileNetV3 classifier replacement is verified from TorchVision source.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv3_source|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_small_docs
torchvision_vit_b16_imagenet_v1_training_details,ImageClassificationRecipeDetails,TorchVision ViT-B-16 ImageNet-1K V1 training details,torchvision_vit_b16_imagenet_v1_training,0.11,0.2,1.0,ra,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.heads.head,,TorchVision ViT-B-16 V1 recipe uses repeated augmentation sampler and model EMA; weight transforms use 224 crop with ImageNet normalization.,evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source|evidence_torchvision_classification_reference
swag_vit_b16_imagenet1k_e2e_finetune_details,ImageClassificationRecipeDetails,SWAG ViT-B/16 ImageNet-1K end-to-end fine-tuning details,swag_vit_b16_imagenet1k_e2e_finetune,,,,,,384,384,384,0.485|0.456|0.406,0.229|0.224|0.225,model.heads.head,false,SWAG ViT-B/16 ImageNet-1K fine-tuned checkpoint uses 384x384 bicubic preprocessing in TorchVision metadata; end-to-end fine-tuned checkpoint should not be treated as head-only feature extraction.,evidence_swag_repo|evidence_torchvision_vit_source
torchvision_vit_b16_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,TorchVision ViT-B-16 ImageNet-pretrained custom fine-tuning details,torchvision_vit_b16_imagenet_pretrained_custom_finetune,,,,,,224|384,weights.transforms resize,224|384,0.485|0.456|0.406,0.229|0.224|0.225,model.heads.head,true,"Use weights.transforms() for validation/inference. For custom classes replace heads.head; for small datasets freeze encoder and train heads.head first; interpolate positional embeddings when changing image size.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source
ftclip_clip_vit_b16_imagenet1k_finetune_details,ImageClassificationRecipeDetails,FT-CLIP CLIP ViT-B/16 ImageNet-1K fine-tuning details,ftclip_clip_vit_b16_imagenet1k_finetune,0.1,0,0,RandAug_m9_n2_mstd0.5,0.25,224,224,224,0.48145466|0.4578275|0.40821073,0.26862954|0.26130258|0.27577711,visual classification head,true,"FT-CLIP fine-tunes the visual encoder for ImageNet-1K using CLIP mean/std, RandAug, no MixUp/CutMix, no drop path, layer-wise LR decay, and EMA.",evidence_ft_clip_paper|evidence_ft_clip_repo|evidence_openai_clip_source
torchvision_swin_v2_imagenet1k_training_details,ImageClassificationRecipeDetails,TorchVision Swin V2 ImageNet-1K training details,torchvision_swin_v2_imagenet1k_training,0.1,0.8,1.0,ta_wide,0.25,256,260|272,256,0.485|0.456|0.406,0.229|0.224|0.225,model.head,,TorchVision Swin V2 T/S use resize 260 and crop 256; Swin V2 B uses resize 272 and crop 256. The final classifier is model.head in TorchVision SwinTransformer.,evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source|evidence_torchvision_classification_reference
microsoft_swinv2_b_22kto1k_256_finetune_details,ImageClassificationRecipeDetails,Microsoft SwinV2-B 22K-to-1K 256px fine-tuning details,microsoft_swinv2_b_22kto1k_256_finetune,,,,,,256,256,256,0.485|0.456|0.406,0.229|0.224|0.225,model.head,true,"Fine-tunes a 192px ImageNet-22K pretrained SwinV2-B* checkpoint to 256px ImageNet-1K with window size 16 and pretrained window sizes 12|12|12|6.",evidence_microsoft_swin_repo|evidence_microsoft_swinv2_config
