id,type,source_type,title,source_owner,year,url_or_reference,claim_supported,confidence,notes
evidence_ultralytics_yolov8_docs,EvidenceSource,OfficialDocs,Ultralytics YOLOv8 Documentation,Ultralytics,2026,https://docs.ultralytics.com/models/yolov8/,"Official documentation for YOLOv8 variants, benchmark metrics, speed/accuracy tradeoff, pretrained models, and supported tasks.",High,"Use for Model, EvaluationMetric, ModelBenchmarkResult, and variant-selection rules."
evidence_ultralytics_train_docs,EvidenceSource,OfficialDocs,Ultralytics YOLO Train Mode Documentation,Ultralytics,2026,https://docs.ultralytics.com/modes/train/,"Official documentation for YOLO training settings, hardware utilization, training behavior, and training examples.",High,Use for TrainingRecipe and AdjustmentRule facts.
evidence_ultralytics_cfg_docs,EvidenceSource,OfficialDocs,Ultralytics YOLO Configuration Documentation,Ultralytics,2026,https://docs.ultralytics.com/usage/cfg/,"Official documentation for YOLO configuration arguments, including training and prediction settings.",High,Use for default training and inference settings.
evidence_ultralytics_hpo_docs,EvidenceSource,OfficialDocs,Ultralytics YOLO Hyperparameter Tuning Guide,Ultralytics,2026,https://docs.ultralytics.com/guides/hyperparameter-tuning/,"Official documentation for YOLO hyperparameter tuning workflow, tunable parameters, metrics, and learning-rate guidance.",High,Use for tuning rules and limited hyperparameter range guidance.
evidence_ultralytics_yolov10_docs,EvidenceSource,OfficialDocs,Ultralytics YOLOv10 Documentation,Ultralytics,2026,https://docs.ultralytics.com/models/yolov10/,"Official documentation for YOLOv10 variants, NMS-free object detection design, supported object detection task, benchmark values, and export support.",High,"Use for YOLOv10 Model, ModelBenchmarkResult, and selected AdjustmentRule facts."
evidence_ultralytics_yolo11_docs,EvidenceSource,OfficialDocs,Ultralytics YOLO11 Documentation,Ultralytics,2026,https://docs.ultralytics.com/models/yolo11/,"Official documentation for YOLO11 variants, supported tasks, detection benchmark values, training/inference examples, and citation guidance.",High,"Use for YOLO11 Model, ModelBenchmarkResult, and selected AdjustmentRule facts."
evidence_ultralytics_yolo12_docs,EvidenceSource,OfficialDocs,Ultralytics YOLO12 Documentation,Ultralytics,2026,https://docs.ultralytics.com/models/yolo12/,"Official documentation for YOLO12 attention-centric architecture, detection pretrained weights, supported task modes, COCO benchmark values, and production cautions.",High,"Use for YOLO12 Model, ModelBenchmarkResult, and cautionary AdjustmentRule facts."
evidence_rtdetr_paper,EvidenceSource,PeerReviewedPaper,DETRs Beat YOLOs on Real-time Object Detection,"Yian Zhao, Wenyu Lv, Shangliang Xu, Jinman Wei, Guanzhong Wang, Qingqing Dang, Yi Liu, Jie Chen",2024,https://arxiv.org/abs/2304.08069,"CVPR 2024 RT-DETR paper describing architecture, training recipe, hardware, Objects365 pre-training plus COCO fine-tuning, COCO benchmark AP, FPS on T4 TensorRT FP16, parameters, and FLOPs.",High,"Use for RT-DETR Model, TrainingRecipe, HardwareProfile, ModelBenchmarkResult, and AdjustmentRule facts."
evidence_rtdetr_official_repo,EvidenceSource,OfficialCode,Official RT-DETR Repository,lyuwenyu,2026,https://github.com/lyuwenyu/RT-DETR,"Official RT-DETR implementation and model table with COCO and COCO+Objects365 benchmark values, T4 TensorRT FP16 FPS, parameters, FLOPs, PyTorch/Paddle code, pretrained weights, and custom-data/tuning support notes.",High,"Use for RT-DETR implementation availability, model variants, benchmarks, and practical fine-tuning notes."
evidence_rtdetr_pytorch_config,EvidenceSource,OfficialCode,RT-DETR PyTorch R50 6x COCO Config,lyuwenyu,2026,https://github.com/lyuwenyu/RT-DETR/tree/main/rtdetr_pytorch/configs/rtdetr,"Official PyTorch config for RT-DETR R50 6x COCO training, including optimizer, epoch count, batch sizes, image size, EMA, warmup, weight decay, and augmentation operations.",High,Use for RT-DETR TrainingRecipe defaults and hyperparameter adjustment rules.
evidence_ultralytics_rtdetr_docs,EvidenceSource,OfficialDocs,Ultralytics RT-DETR Documentation,Ultralytics,2026,https://docs.ultralytics.com/models/rtdetr/,"Official documentation for the COCO-pretrained rtdetr-l.pt checkpoint and its supported training, validation, inference, and export modes at 640px.",High,Use for the executable RT-DETR-L registry entry and adapted custom-data fine-tuning recipe.
evidence_ultralytics_rtdetr_train_api,EvidenceSource,OfficialCode,Ultralytics RT-DETR Trainer API,Ultralytics,2026,https://docs.ultralytics.com/reference/models/rtdetr/train/,"Official RT-DETR trainer implementation documenting its dedicated dataset, validator, GIoU/classification/L1 loss outputs, and the warning that AMP can produce NaNs during bipartite matching.",High,Use for RT-DETR execution constraints and train/validation transformation behavior.
evidence_lin_focal_loss,EvidenceSource,AcademicPaper,Focal Loss for Dense Object Detection,Tsung-Yi Lin et al.,2017,https://arxiv.org/abs/1708.02002,"Focal loss dynamically scales cross entropy based on prediction confidence, heavily weighting hard-to-classify examples.",High,Fundamental paper introducing focal loss to solve extreme foreground-background class imbalance.
evidence_bochkovskiy_yolov4,EvidenceSource,AcademicPaper,YOLOv4: Optimal Speed and Accuracy of Object Detection,Alexey Bochkovskiy et al.,2020,https://arxiv.org/abs/2004.10934,Introduced Bag of Freebies including Mosaic augmentation for small objects.,High,Standardized mosaic and multi-image augmentations in the YOLO ecosystem.
evidence_ultralytics_recipe,EvidenceSource,OfficialDocs,Ultralytics YOLO Training Recipe,Ultralytics,2026,https://docs.ultralytics.com/guides/yolo-training-recipe/,Guidance on inverse relationship between dataset size and augmentation strength.,High,Official guidelines for dataset-size-specific augmentation scaling.
evidence_ultralytics_early_stopping,EvidenceSource,OfficialDocs,Ultralytics Model Evaluation & Patience Tuning,Ultralytics,2026,https://docs.ultralytics.com/guides/model-evaluation-insights/,Setting patience to 50 provides sufficient buffer for models to overcome temporary loss plateaus without wasting excessive compute.,High,Standard deep learning heuristic adopted widely in YOLO training frameworks.
evidence_torchvision_retinanet_docs,EvidenceSource,OfficialDocs,Torchvision RetinaNet ResNet-50 FPN Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.detection.retinanet_resnet50_fpn.html,"Official Torchvision documentation for RetinaNet ResNet-50-FPN pretrained weights, COCO validation box mAP, parameter count, GFLOPs, trainable backbone layers, input/target format, and Focal Loss reference.",High,"Use for RetinaNet Model, ModelBenchmarkResult, TrainingRecipe, and AdjustmentRule facts."
evidence_torchvision_detection_reference,EvidenceSource,OfficialCode,Torchvision Detection Reference Training Scripts,Torch Contributors,2026,https://github.com/pytorch/vision/tree/main/references/detection,"Official Torchvision reference training scripts and README for object detection, including Faster R-CNN, RetinaNet, and SSD300 COCO training commands, 8x V100 training hardware note, optimizer/scheduler hyperparameters, batch size, and learning-rate guidance where documented.",High,"Use for Torchvision object detection TrainingRecipe, HardwareProfile, and AdjustmentRule facts."
evidence_detectron2_training_docs,EvidenceSource,OfficialDocs,Detectron2 Training Documentation,Detectron2 contributors,2026,https://detectron2.readthedocs.io/en/latest/tutorials/getting_started.html,"Official Detectron2 docs for training with train_net.py, 8-GPU config assumptions, and example batch/LR scaling for one GPU.",High,Use for Detectron2 RetinaNet fine-tuning recipes and batch/LR adjustment rules.
evidence_detectron2_custom_dataset_docs,EvidenceSource,OfficialDocs,Detectron2 Custom Dataset Documentation,Detectron2 contributors,2026,https://detectron2.readthedocs.io/en/latest/tutorials/datasets.html,Official Detectron2 docs for custom-dataset updates including MODEL.RETINANET.NUM_CLASSES and TEST.DETECTIONS_PER_IMAGE.,High,Use for Detectron2 RetinaNet custom fine-tuning recipes and adjustment rules.
evidence_detectron2_retinanet_config,EvidenceSource,OfficialCode,Detectron2 RetinaNet R50-FPN Configs,Detectron2 contributors,2026,https://github.com/facebookresearch/detectron2/tree/main/configs/COCO-Detection,"Official Detectron2 RetinaNet configs showing Base-RetinaNet hyperparameters and R50-FPN 1x/3x schedules: SGD-style solver settings, IMS_PER_BATCH=16, BASE_LR=0.01, MultiStep schedule, MAX_ITER values, input scale jitter, and ImageNet-pretrained R50 initialization.",High,Use for Detectron2 RetinaNet training and fine-tuning hyperparameter defaults.
evidence_detectron2_model_zoo,EvidenceSource,OfficialDocs,Detectron2 Model Zoo RetinaNet Baselines,Detectron2 contributors,2026,https://github.com/facebookresearch/detectron2/blob/main/MODEL_ZOO.md,"Official Detectron2 model zoo RetinaNet COCO baselines, pretrained checkpoint availability, AP values, inference speed, training memory, and note that baselines were obtained on 8 NVIDIA V100 GPUs with NVLink.",High,Use for Detectron2 RetinaNet ModelBenchmarkResult rows and pretrained-checkpoint selection.
evidence_faster_rcnn_paper,EvidenceSource,PeerReviewedPaper,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"Shaoqing Ren, Kaiming He, Ross Girshick, Jian Sun",2016,https://arxiv.org/abs/1506.01497,Foundational Faster R-CNN paper introducing the Region Proposal Network and joint RPN plus Fast R-CNN detector design.,High,Use for Faster R-CNN model-family and architecture facts.
evidence_torchvision_fasterrcnn_docs,EvidenceSource,OfficialDocs,Torchvision Faster R-CNN ResNet-50 FPN Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.detection.fasterrcnn_resnet50_fpn.html,"Official Torchvision documentation for Faster R-CNN ResNet-50-FPN pretrained weights, COCO validation box mAP, parameter count, GFLOPs, trainable backbone layers, input/target format, and ONNX export note.",High,"Use for Faster R-CNN Model, ModelBenchmarkResult, TrainingRecipe, and AdjustmentRule facts."
evidence_torchvision_detection_finetuning_tutorial,EvidenceSource,OfficialDocs,TorchVision Object Detection Finetuning Tutorial,Torch Contributors,2025,https://docs.pytorch.org/tutorials/intermediate/torchvision_tutorial.html,Official PyTorch tutorial showing how to fine-tune a COCO-pretrained Faster R-CNN model by loading fasterrcnn_resnet50_fpn weights and replacing the FastRCNNPredictor head for custom classes.,High,Use for Torchvision Faster R-CNN fine-tuning head replacement and class-count adjustment rules.
evidence_detectron2_fasterrcnn_config,EvidenceSource,OfficialCode,Detectron2 Faster R-CNN R50-FPN Configs,Detectron2 contributors,2026,https://github.com/facebookresearch/detectron2/tree/main/configs/COCO-Detection,"Official Detectron2 Faster R-CNN configs showing Base-RCNN-FPN hyperparameters and R50-FPN 1x/3x schedules: IMS_PER_BATCH=16, BASE_LR=0.02, MultiStep schedule, MAX_ITER values, input scale jitter, RPN proposal settings, and ImageNet-pretrained R50 initialization.",High,Use for Detectron2 Faster R-CNN training and fine-tuning hyperparameter defaults.
evidence_detectron2_fasterrcnn_model_zoo,EvidenceSource,OfficialDocs,Detectron2 Model Zoo Faster R-CNN Baselines,Detectron2 contributors,2026,https://github.com/facebookresearch/detectron2/blob/main/MODEL_ZOO.md,"Official Detectron2 model zoo Faster R-CNN COCO baselines, pretrained checkpoint availability, AP values, inference speed, training memory, and note that baselines were obtained on 8 NVIDIA V100 GPUs with NVLink.",High,Use for Detectron2 Faster R-CNN ModelBenchmarkResult rows and pretrained-checkpoint selection.
evidence_ssd_paper,EvidenceSource,PeerReviewedPaper,SSD: Single Shot MultiBox Detector,Wei Liu et al.,2016,https://arxiv.org/abs/1512.02325,Foundational SSD paper introducing Single Shot MultiBox Detector architecture for single-stage object detection.,High,Use for SSD model-family and architecture facts.
evidence_torchvision_ssd_docs,EvidenceSource,OfficialDocs,Torchvision SSD300 VGG16 Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.detection.ssd300_vgg16.html,"Official Torchvision documentation for SSD300 VGG16 pretrained weights, COCO validation box mAP, parameter count, GFLOPs, fixed-size resizing behavior, trainable backbone layers, input/target format, and SSD paper reference.",High,"Use for SSD Model, ModelBenchmarkResult, TrainingRecipe, and AdjustmentRule facts."
evidence_torchvision_ssd_source,EvidenceSource,OfficialCode,Torchvision SSD Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/detection/ssd.py,"Official Torchvision SSD implementation showing SSD post-processing defaults, fixed 300x300 model construction, custom num_classes behavior, COCO weight class override, default box generator settings, and trainable backbone layer default.",High,Use for SSD TrainingRecipe and AdjustmentRule facts that are only visible in implementation details.
evidence_resnet_paper,EvidenceSource,PeerReviewedPaper,Deep Residual Learning for Image Recognition,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",2015,https://arxiv.org/abs/1512.03385,Foundational ResNet paper introducing residual learning for deep image classifiers and reporting ImageNet classification results.,High,Use for ResNet architecture facts and model-family provenance.
evidence_torchvision_resnet50_docs,EvidenceSource,OfficialDocs,Torchvision ResNet-50 Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.resnet50.html,"Official TorchVision documentation for ResNet50 pretrained weights, ResNet V1.5 note, ImageNet-1K top-1/top-5 accuracy, parameter count, GFLOPs, file size, preprocessing transforms, and recipe links.",High,"Use for ResNet50 Model, ModelBenchmarkResult, preprocessing, and evidence-backed metric values."
evidence_torchvision_classification_reference,EvidenceSource,OfficialCode,Torchvision Classification Reference Training Scripts,Torch Contributors,2026,https://github.com/pytorch/vision/tree/main/references/classification,"Official TorchVision ImageNet classification reference scripts and README with baseline ResNet and MobileNetV3 training commands, default hyperparameters, 8x V100 training hardware note, and learning-rate scaling guidance.",High,"Use for TorchVision image-classification pretraining recipes, hardware profiles, and LR/batch adjustment rules."
evidence_mobilenetv2_paper,EvidenceSource,PeerReviewedPaper,MobileNetV2: Inverted Residuals and Linear Bottlenecks,"Mark Sandler, Andrew Howard, Menglong Zhu, Andrey Zhmoginov, Liang-Chieh Chen",2018,https://arxiv.org/abs/1801.04381,"Foundational MobileNetV2 paper introducing inverted residuals and linear bottlenecks and reporting efficient ImageNet classification and mobile deployment results.",High,"Use for MobileNetV2 architecture provenance and efficiency motivation."
evidence_torchvision_mobilenetv2_docs,EvidenceSource,OfficialDocs,Torchvision MobileNet V2 Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.mobilenet_v2.html,"Official TorchVision documentation for MobileNet V2 ImageNet-1K V1 and V2/DEFAULT pretrained weights, top-1/top-5 accuracy, parameter count, GFLOPs, file size, preprocessing transforms, and recipe links.",High,"Use for MobileNetV2 Model, ModelBenchmarkResult, preprocessing, and pretrained-weight selection facts."
evidence_torchvision_mobilenetv2_source,EvidenceSource,OfficialCode,Torchvision MobileNet V2 Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/mobilenetv2.py,"Official implementation showing MobileNetV2 classifier[1], default dropout, pretrained weight metadata, preprocessing presets, exact recipe URLs, and DEFAULT alias to IMAGENET1K_V2.",High,"Use for MobileNetV2 classifier replacement, fine-tuning details, and benchmark-to-recipe provenance."
evidence_torchvision_mobilenetv2_v2_recipe,EvidenceSource,OfficialIssue,TorchVision MobileNet V2 ImageNet V2 Recipe,Torch Contributors,2021,https://github.com/pytorch/vision/issues/3995,"TorchVision issue linked directly by MobileNet_V2_Weights.IMAGENET1K_V2, documenting the 8-GPU 600-epoch cosine recipe, regularization tuning, repeated augmentation, and 72.154 top-1 / 90.822 top-5 result.",High,"Use for the MobileNetV2 ImageNet V2 pretraining recipe and its benchmark linkage."
evidence_torchvision_mobilenetv2_quantized_docs,EvidenceSource,OfficialDocs,Torchvision Quantized MobileNet V2 Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.quantization.mobilenet_v2.html,"Official documentation for CPU-only INT8 QNNPACK MobileNet V2 weights, ImageNet-1K top-1/top-5 accuracy, parameter count, GIPS, file size, preprocessing, and derivation by quantization-aware training from IMAGENET1K_V1.",High,"Use for quantized MobileNetV2 benchmark, CPU hardware profile, and quantization rules."
evidence_densenet_paper,EvidenceSource,PeerReviewedPaper,Densely Connected Convolutional Networks,"Gao Huang, Zhuang Liu, Laurens van der Maaten, Kilian Q. Weinberger",2017,https://arxiv.org/abs/1608.06993,"CVPR paper introducing DenseNet and evaluating DenseNet-121 on ImageNet and other classification benchmarks.",High,"Use for DenseNet architecture provenance and feature-reuse motivation."
