id,type,dataset_name,aliases,task_ids,dataset_role,description,notes,evidence_ids
coco,Dataset,COCO,COCO-val2017,object_detection,Benchmark,Common-object detection benchmark.,Normalizes COCO benchmark rows.,evidence_ultralytics_yolov8_docs|evidence_rtdetr_paper|evidence_torchvision_detection_reference|evidence_detectron2_model_zoo
coco_objects365,Dataset,COCO + Objects365,,object_detection,Benchmark,COCO evaluation with Objects365 pretraining context.,Used by RT-DETR COCO+Objects365 rows.,evidence_rtdetr_paper|evidence_rtdetr_official_repo
open_images_v7,Dataset,Open Images V7,,object_detection,Benchmark,Large-scale object-detection benchmark.,Normalizes Open Images benchmark rows.,evidence_openimages_v7_official|evidence_ultralytics_yolov8_docs
imagenet_1k,Dataset,ImageNet-1K,,image_classification,Benchmark,Large-scale image-classification benchmark.,Used for pretrained classifier metrics.,evidence_torchvision_classification_reference|evidence_torchvision_resnet50_docs|evidence_dinov2_repo
llava_1_5_mix665k,Dataset,LLaVA-1.5 Mix 665K,,visual_question_answering,Training,Visual instruction-tuning mixture.,Contains conversation VQA OCR and grounding data.,evidence_llava_1_5_paper|evidence_llava_official_repo
llava_pretrain_558k,Dataset,LLaVA Pretrain 558K,LAION-CC-SBU subset,visual_question_answering,Pretraining,Image-text pretraining subset for LLaVA alignment.,Used before visual instruction tuning.,evidence_llava_1_5_paper|evidence_llava_official_repo
vqa_multibench_llava,Dataset,LLaVA VQA Benchmark Suite,VQAv2|GQA|VisWiz|ScienceQA-IMG|TextVQA|MME|MM-Vet|POPE,visual_question_answering,Benchmark,VQA and multimodal benchmark suite.,Keeps concrete benchmark names in metric rows.,evidence_llava_1_5_paper
ACDC_det_val_night,Dataset,ACDC detection validation night,ACDC night val|ACDC_det_val_night,object_detection,Validation,Nighttime ACDC detection validation split.,ACDC covers adverse driving conditions.,evidence_acdc_dataset|evidence_visionkg_dataset_registry
ACDC_det_train,Dataset,ACDC detection train,ACDC train|ACDC_det_train,object_detection,Training,ACDC detection training split with driving scenes from fog nighttime rain and snow conditions.,The ACDC training split provides annotated adverse-condition street scenes.,evidence_acdc_dataset|evidence_visionkg_dataset_registry
CUB-200-2011_cls_test,Dataset,CUB-200-2011 classification test,CUB test|CUB-200-2011_cls_test,image_classification,Test,CUB bird classification test split.,200 fine-grained bird categories.,evidence_cub200_2011_dataset|evidence_visionkg_dataset_registry
CUB-200-2011_cls_train,Dataset,CUB-200-2011 classification train,CUB train|CUB-200-2011_cls_train,image_classification,Training,CUB bird classification training split.,200 fine-grained bird categories.,evidence_cub200_2011_dataset|evidence_visionkg_dataset_registry
LVIS_det_train,Dataset,LVIS detection train,LVIS train|LVIS_det_train,object_detection,Training,LVIS detection training split.,Large-vocabulary object categories from LVIS masks.,evidence_lvis_dataset|evidence_visionkg_dataset_registry
LVIS_det_val,Dataset,LVIS detection validation,LVIS val|LVIS_det_val,object_detection,Validation,LVIS detection validation split.,Large-vocabulary object categories from LVIS masks.,evidence_lvis_dataset|evidence_visionkg_dataset_registry
SOP_cls_test,Dataset,Stanford Online Products classification test,SOP test|Stanford Online Products test,image_classification,Test,Stanford Online Products test split.,Product-image recognition data.,evidence_sop_dataset|evidence_visionkg_dataset_registry
SOP_cls_train,Dataset,Stanford Online Products classification train,SOP train|Stanford Online Products train,image_classification,Training,Stanford Online Products training split.,Product-image recognition data.,evidence_sop_dataset|evidence_visionkg_dataset_registry
UA-DETRAC_det,Dataset,UA-DETRAC detection,DETRAC|UA-DETRAC_det,object_detection,Benchmark,UA-DETRAC vehicle detection dataset.,Traffic-video detection and tracking benchmark.,evidence_ua_detrac_paper|evidence_visionkg_dataset_registry
bdd_100k_det_train,Dataset,BDD100K detection train,BDD100K train|bdd_100k_det_train,object_detection,Training,BDD100K detection training split.,Diverse driving-scene data.,evidence_bdd100k_paper|evidence_visionkg_dataset_registry
bdd_100k_det_val,Dataset,BDD100K detection validation,BDD100K val|bdd_100k_det_val,object_detection,Validation,BDD100K detection validation split.,Diverse driving-scene data.,evidence_bdd100k_paper|evidence_visionkg_dataset_registry
caltech101_cls,Dataset,Caltech101 classification,Caltech 101|caltech101_cls,image_classification,Benchmark,Caltech101 classification dataset.,Object-category recognition data.,evidence_caltech101_dataset|evidence_visionkg_dataset_registry
cars196_cls_test,Dataset,Cars196 classification test,Stanford Cars test|cars196_cls_test,image_classification,Test,Cars196 classification test split.,196 fine-grained vehicle classes.,evidence_fine_grained_vehicle_eval|evidence_visionkg_dataset_registry
