source_id,relation,target_id,evidence_id,confidence,notes
coco,in_domain,domain_general_everyday_objects,evidence_coco_paper,High,COCO is a common-object benchmark.
coco_objects365,in_domain,domain_general_everyday_objects,evidence_rtdetr_paper,Medium,COCO plus Objects365 is a general object-detection context.
open_images_v7,in_domain,domain_general_everyday_objects,evidence_ultralytics_yolov8_docs,Medium,Open Images is used as a broad object-detection benchmark.
imagenet_1k,in_domain,domain_general_everyday_objects,evidence_imagenet_paper,High,ImageNet-1K is a broad object-recognition benchmark.
llava_1_5_mix665k,in_domain,domain_general_everyday_objects,evidence_llava_1_5_paper,Medium,LLaVA instruction data covers broad visual question answering and grounding.
llava_pretrain_558k,in_domain,domain_general_everyday_objects,evidence_llava_1_5_paper,Medium,LLaVA pretraining uses broad image-text data.
vqa_multibench_llava,in_domain,domain_general_everyday_objects,evidence_llava_1_5_paper,Medium,LLaVA VQA benchmarks cover broad visual understanding tasks.
ACDC_det_val_night,in_domain,domain_street_autonomous_driving,evidence_acdc_dataset,High,ACDC is an adverse-condition driving dataset.
ACDC_det_train,in_domain,domain_street_autonomous_driving,evidence_acdc_dataset,High,ACDC training data contains adverse-condition driving scenes.
CUB-200-2011_cls_test,in_domain,domain_fine_grained_wildlife_nature,evidence_cub200_2011_dataset,High,CUB is a fine-grained bird dataset.
CUB-200-2011_cls_train,in_domain,domain_fine_grained_wildlife_nature,evidence_cub200_2011_dataset,High,CUB is a fine-grained bird dataset.
LVIS_det_train,in_domain,domain_general_everyday_objects,evidence_lvis_dataset,High,LVIS covers large-vocabulary everyday object categories.
LVIS_det_val,in_domain,domain_general_everyday_objects,evidence_lvis_dataset,High,LVIS covers large-vocabulary everyday object categories.
SOP_cls_test,in_domain,domain_ecommerce_retail,evidence_sop_dataset,High,Stanford Online Products is product-image data.
SOP_cls_train,in_domain,domain_ecommerce_retail,evidence_sop_dataset,High,Stanford Online Products is product-image data.
UA-DETRAC_det,in_domain,domain_traffic_surveillance,evidence_ua_detrac_paper,High,UA-DETRAC is a traffic-video dataset.
bdd_100k_det_train,in_domain,domain_street_autonomous_driving,evidence_bdd100k_paper,High,BDD100K is a driving-scene dataset.
bdd_100k_det_val,in_domain,domain_street_autonomous_driving,evidence_bdd100k_paper,High,BDD100K is a driving-scene dataset.
caltech101_cls,in_domain,domain_general_everyday_objects,evidence_caltech101_dataset,High,Caltech101 is object-category recognition data.
cars196_cls_test,in_domain,domain_fine_grained_vehicles,evidence_fine_grained_vehicle_eval,High,Cars196 is fine-grained vehicle data.
cars196_cls_train,in_domain,domain_fine_grained_vehicles,evidence_fine_grained_vehicle_eval,High,Cars196 is fine-grained vehicle data.
cars196_det_test,in_domain,domain_fine_grained_vehicles,evidence_fine_grained_vehicle_eval,Medium,Cars196 detection is vehicle-focused VisionKG data.
cifar100_cls_test,in_domain,domain_general_everyday_objects,evidence_cifar_dataset,High,CIFAR-100 is object-category classification data.
cifar10_cls_test,in_domain,domain_general_everyday_objects,evidence_cifar_dataset,High,CIFAR-10 is object-category classification data.
cifar10_cls_train,in_domain,domain_general_everyday_objects,evidence_cifar_dataset,High,CIFAR-10 is object-category classification data.
cityscapes_det_val,in_domain,domain_street_autonomous_driving,evidence_cityscapes_paper,High,Cityscapes is urban street-scene data.
cityscapes_inseg_val,in_domain,domain_street_autonomous_driving,evidence_cityscapes_paper,High,Cityscapes is urban street-scene data.
coco2017_det_val,in_domain,domain_general_everyday_objects,evidence_coco_paper,High,COCO is common-object detection data.
imageNet-1K_cls_train,in_domain,domain_general_everyday_objects,evidence_imagenet_paper,High,ImageNet-1K is broad object-classification data.
imageNet-1K_cls_val,in_domain,domain_general_everyday_objects,evidence_imagenet_paper,High,ImageNet-1K is broad object-classification data.
mapillary_v1.2_det_train,in_domain,domain_street_autonomous_driving,evidence_mapillary_vistas_dataset,High,Mapillary Vistas is street-level scene data.
mapillary_v1.2_det_val,in_domain,domain_street_autonomous_driving,evidence_mapillary_vistas_dataset,High,Mapillary Vistas is street-level scene data.
