id,type,model_id,precision_mode,batch_size,context_tokens_for_kv,params_m,flops_b,weight_memory_gb,activation_workspace_gb,kv_cache_gb,runtime_overhead_gb,total_estimated_vram_gb,practical_min_vram_gb,recommended_hardware_category,recommended_hardware_profile,calculation_method,confidence,evidence_ids,notes
infer_mem_yolov8n,ModelInferenceMemoryEstimate,yolov8n,FP16,1,,3.5,10.5,0.007,0.250,0.000,0.001,0.258,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov8_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov8s,ModelInferenceMemoryEstimate,yolov8s,FP16,1,,11.4,29.7,0.021,0.250,0.000,0.004,0.275,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov8_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov8m,ModelInferenceMemoryEstimate,yolov8m,FP16,1,,26.2,80.6,0.049,0.403,0.000,0.010,0.462,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov8_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov8l,ModelInferenceMemoryEstimate,yolov8l,FP16,1,,44.1,167.4,0.082,0.837,0.000,0.016,0.935,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov8_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov8x,ModelInferenceMemoryEstimate,yolov8x,FP16,1,,68.7,260.6,0.128,1.303,0.000,0.026,1.457,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov8_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov10n,ModelInferenceMemoryEstimate,yolov10n,FP16,1,,2.3,6.7,0.004,0.250,0.000,0.001,0.255,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov10_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov10s,ModelInferenceMemoryEstimate,yolov10s,FP16,1,,7.2,21.6,0.013,0.250,0.000,0.003,0.266,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov10_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov10m,ModelInferenceMemoryEstimate,yolov10m,FP16,1,,15.4,59.1,0.029,0.296,0.000,0.006,0.331,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov10_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov10l,ModelInferenceMemoryEstimate,yolov10l,FP16,1,,24.4,120.3,0.045,0.602,0.000,0.009,0.656,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov10_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolov10x,ModelInferenceMemoryEstimate,yolov10x,FP16,1,,29.5,160.4,0.055,0.802,0.000,0.011,0.868,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolov10_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
